b.MP4 | 00:11:10.031=no, 00:23:38.023=yes, 00:27:49.793=yes
po2.MP4 | 00:13:13.219=yes
tur2.MP4 | 00:02:16.226=no
na.MP4 | 00:00:18.341=no
bmsn3.MP4 | 00:00:21.106=no
pb.MP4 | 00:02:47.005=yes
nt3.MP4 | 00:00:15.196=yes
fort4.MP4 | 00:10:24.007=yes
bk2.MP4 | 00:06:15.274=yes
pin.MP4 | 00:05:54.441=yes
nt.MP4 | 00:26:55.632=yes
fort3.MP4 | 00:02:01.981=yes
fort.MP4 | 00:03:10.082=yes
dt.MP4 | 00:01:16.732=perfect
tt2.MP4 | 00:01:12.224=yes
po2.MP4 | 00:08:28.191=yes
bs.MP4 | 00:09:50.696=perfect
gs4.MP4 | 00:00:26.206=yes
wr.MP4 | 00:26:07.499=yes
dbg.MP4 | 00:03:33.258=yes
bd.MP4 | 00:21:49.288=yes
btr2.MP4 | 00:00:06.162=yes
gs2.MP4 | 00:18:35.219=yes
b2.MP4 | 00:02:33.729=no
grn.MP4 | 00:23:26.992=perfect
ba6.MP4 | 00:03:28.599=yes
lb2.MP4 | 00:15:49.990=perfect
po4.MP4 | 00:15:04.506=yes
pu.MP4 | 00:04:38.252=yes
bd.MP4 | 00:22:35.776=yes
mbb.MP4 | 00:10:45.955=yes
bg2.MP4 | 00:00:38.007=yes
nt.MP4 | 00:18:56.320=yes
mt3.MP4 | 00:00:34.518=no
po3.MP4 | 00:11:53.620=yes
na.MP4 | 00:00:15.912=yes
mt3.MP4 | 00:00:24.703=yes
po4.MP4 | 00:23:22.513=yes
tur.MP4 | 00:04:24.284=no
fort3.MP4 | 00:01:11.235=yes
cnb3.MP4 | 00:02:07.470=no
po4.MP4 | 00:15:22.158=yes
n.MP4 | 00:05:32.098=yes
btr2.MP4 | 00:00:47.770=yes
btr2.MP4 | 00:00:05.512=yes
brw2.MP4 | 00:01:45.429=perfect
ba7.MP4 | 00:00:29.786=no
cnb3.MP4 | 00:01:17.843=perfect
pb.MP4 | 00:02:46.744=yes
bd3.MP4 | 00:00:38.677=no
bb2.MP4 | 00:03:21.021=yes
bb2.MP4 | 00:03:19.951=yes
po2.MP4 | 00:04:16.403=yes
bm.MP4 | 00:21:24.777=perfect
lb2.MP4 | 00:15:51.211=perfect
bb2.MP4 | 00:03:18.822=yes
bk2.MP4 | 00:04:54.713=yes
cnb2.MP4 | 00:00:38.593=perfect
pin.MP4 | 00:20:25.036=perfect
fort3.MP4 | 00:02:27.337=yes
po2.MP4 | 00:05:43.547=yes
grn.MP4 | 00:28:13.276=perfect
n.MP4 | 00:07:19.730=yes
na.MP4 | 00:00:12.652=yes
fort2.MP4 | 00:00:35.254=yes
cnb3.MP4 | 00:00:27.564=yes
b.MP4 | 00:27:53.011=yes
grn.MP4 | 00:10:50.565=yes
bh.MP4 | 00:13:20.796=yes
bsn2.MP4 | 00:00:38.423=yes
po3.MP4 | 00:08:10.689=yes
ba4.MP4 | 00:03:55.708=yes
ba4.MP4 | 00:00:35.803=yes
gs.MP4 | 00:01:12.720=yes
bg.MP4 | 00:11:35.631=yes
brw2.MP4 | 00:02:35.331=perfect
pb.MP4 | 00:02:45.376=yes
rb.MP4 | 00:14:52.890=yes
po2.MP4 | 00:07:17.990=yes
bk.MP4 | 00:27:15.087=yes
min.MP4 | 00:13:30.056=yes
pin.MP4 | 00:20:08.359=perfect
brw2.MP4 | 00:02:48.535=perfect
cnb3.MP4 | 00:01:29.403=perfect
gs2.MP4 | 00:20:38.670=yes
bd.MP4 | 00:24:01.625=yes
pb.MP4 | 00:02:50.196=yes
ba4.MP4 | 00:01:56.099=yes
tur.MP4 | 00:15:05.923=yes
cnb2.MP4 | 00:00:28.337=yes
tar2.MP4 | 00:11:45.240=yes
lb2.MP4 | 00:16:03.248=perfect
grn.MP4 | 00:07:59.078=perfect
po.MP4 | 00:25:48.228=yes
bmsn3.MP4 | 00:00:03.834=yes
pin.MP4 | 00:07:25.499=yes
cnb3.MP4 | 00:01:17.968=yes
cnb2.MP4 | 00:00:32.533=perfect
fort.MP4 | 00:03:10.134=yes
pin.MP4 | 00:22:22.375=yes
dbg.MP4 | 00:03:33.227=yes
btan.MP4 | 00:02:53.354=yes
min.MP4 | 00:14:40.985=yes
ba3.MP4 | 00:04:24.634=yes
po2.MP4 | 00:03:32.930=yes
bb2.MP4 | 00:03:21.199=yes
tt.MP4 | 00:20:23.065=yes
btr2.MP4 | 00:00:20.408=yes
btr3.MP4 | 00:02:40.172=yes
dt.MP4 | 00:00:27.117=yes
brw2.MP4 | 00:01:57.375=yes
gs2.MP4 | 00:18:36.333=yes
fort4.MP4 | 00:04:00.216=yes
mbb4.MP4 | 00:35:33.098=no
btr.MP4 | 00:00:50.970=yes
po4.MP4 | 00:22:49.670=yes
btr.MP4 | 00:02:04.382=yes
fort5.MP4 | 00:02:43.442=perfect
fort2.MP4 | 00:00:43.056=yes
fort3.MP4 | 00:02:54.057=yes
fort4.MP4 | 00:03:37.927=perfect
na.MP4 | 00:00:11.793=yes
bh.MP4 | 00:13:14.553=yes
bg.MP4 | 00:11:34.689=yes
ba3.MP4 | 00:00:38.165=perfect
po2.MP4 | 00:14:28.179=yes
tar2.MP4 | 00:02:20.981=yes
po4.MP4 | 00:19:23.457=yes
n.MP4 | 00:03:18.496=yes
fort3.MP4 | 00:01:09.043=yes
cb.MP4 | 00:01:22.310=yes
tur.MP4 | 00:15:05.329=yes
bh2.MP4 | 00:01:43.114=yes
cnb3.MP4 | 00:01:32.324=yes
po3.MP4 | 00:14:25.503=yes
bb2.MP4 | 00:03:19.119=yes
ba3.MP4 | 00:04:49.762=yes
fort3.MP4 | 00:02:25.801=yes
ba3.MP4 | 00:01:41.563=yes
dt.MP4 | 00:00:51.940=yes
tur2.MP4 | 00:00:23.156=no
grn.MP4 | 00:25:55.469=perfect
bsw.MP4 | 00:13:13.004=perfect
lb2.MP4 | 00:16:02.978=perfect
tt.MP4 | 00:21:09.580=perfect
cnb2.MP4 | 00:00:05.894=perfect
bla3.MP4 | 00:01:57.444=yes
btr.MP4 | 00:00:08.802=no
ba3.MP4 | 00:00:39.299=yes
nt2.MP4 | 00:00:24.889=yes
mt2.MP4 | 00:01:36.611=yes
gs4.MP4 | 00:00:37.489=yes
tar.MP4 | 00:18:30.123=yes
fort2.MP4 | 00:00:25.472=perfect
dbg.MP4 | 00:03:32.638=yes
fort4.MP4 | 00:01:26.896=yes
btr.MP4 | 00:02:22.211=yes
ga2.MP4 | 00:00:06.414=yes
tar2.MP4 | 00:10:55.776=yes
grn.MP4 | 00:06:29.992=yes
btr.MP4 | 00:02:54.191=yes
bk2.MP4 | 00:06:15.505=yes
grn.MP4 | 00:25:48.109=perfect
bd.MP4 | 00:26:51.162=yes
tur.MP4 | 00:15:08.395=yes
brw2.MP4 | 00:02:42.380=perfect
cnb2.MP4 | 00:00:33.199=yes
bsw.MP4 | 00:07:56.426=yes
grn.MP4 | 00:22:28.373=yes
fort2.MP4 | 00:00:26.507=perfect
gs.MP4 | 00:00:16.771=yes
grn.MP4 | 00:24:50.744=yes
fort3.MP4 | 00:03:18.826=yes
fort2.MP4 | 00:00:25.069=yes
lb2.MP4 | 00:03:14.069=yes
bh2.MP4 | 00:02:38.084=yes
fort4.MP4 | 00:02:04.190=yes
cnb3.MP4 | 00:01:11.131=yes
cnb2.MP4 | 00:00:01.965=yes
bh2.MP4 | 00:01:37.778=yes
tar.MP4 | 00:16:05.882=yes
po4.MP4 | 00:21:19.079=yes
grn.MP4 | 00:17:39.519=yes
ba6.MP4 | 00:03:28.599=yes
bm.MP4 | 00:20:46.497=yes
po3.MP4 | 00:14:06.666=yes
dt.MP4 | 00:00:47.893=yes
fort3.MP4 | 00:02:49.224=yes
cnb2.MP4 | 00:00:14.385=yes
cnb2.MP4 | 00:00:33.631=yes
po3.MP4 | 00:08:11.334=yes
blr.MP4 | 00:01:20.233=yes
bh2.MP4 | 00:00:57.217=yes
btr.MP4 | 00:00:49.498=no
min.MP4 | 00:15:11.317=no
cnb2.MP4 | 00:00:15.217=yes
btan.MP4 | 00:02:52.624=yes
po.MP4 | 00:25:47.674=yes
tar.MP4 | 00:15:36.937=yes
bs.MP4 | 00:09:51.455=perfect
grn.MP4 | 00:28:14.240=perfect
ba2.MP4 | 00:04:49.615=yes
mt3.MP4 | 00:00:42.196=no
n.MP4 | 00:08:45.015=no
cnb2.MP4 | 00:00:25.806=yes
grn.MP4 | 00:32:10.581=perfect
cnb2.MP4 | 00:00:28.404=yes
grn.MP4 | 00:23:24.936=perfect
cnb2.MP4 | 00:00:32.599=yes
btan.MP4 | 00:02:51.977=yes
pin.MP4 | 00:21:58.128=yes
na.MP4 | 00:00:12.534=no
grn.MP4 | 00:25:46.663=perfect
cnb3.MP4 | 00:01:28.751=yes
cnb2.MP4 | 00:00:16.017=yes
gs4.MP4 | 00:00:36.710=yes
gs3.MP4 | 00:00:02.968=yes
dt.MP4 | 00:00:45.408=yes
bmsn3.MP4 | 00:00:13.928=no
grn.MP4 | 00:26:34.966=perfect
brw2.MP4 | 00:02:46.682=perfect
dbg.MP4 | 00:03:34.312=yes
fort3.MP4 | 00:02:26.060=yes
cnb2.MP4 | 00:00:38.993=yes
tar.MP4 | 00:16:38.215=yes
tt.MP4 | 00:18:53.709=yes
cnb2.MP4 | 00:00:07.525=yes
grn.MP4 | 00:24:41.649=perfect
grn.MP4 | 00:12:01.622=yes
grn.MP4 | 00:33:10.486=yes
grn.MP4 | 00:07:57.407=perfect
brw2.MP4 | 00:01:39.043=no
grn.MP4 | 00:22:52.476=no
grn.MP4 | 00:27:05.079=yes
dbg.MP4 | 00:03:34.064=yes
grn.MP4 | 00:26:00.868=perfect
fort4.MP4 | 00:03:37.673=yes
brw2.MP4 | 00:01:59.758=no
cnb2.MP4 | 00:00:06.660=yes
lb2.MP4 | 00:15:49.684=perfect
cnb2.MP4 | 00:00:05.161=perfect
bmsn3.MP4 | 00:00:01.311=yes
cnb3.MP4 | 00:01:30.740=yes
dt.MP4 | 00:00:52.195=no
fort4.MP4 | 00:07:30.996=no
fort2.MP4 | 00:00:33.870=yes
grn.MP4 | 00:28:14.401=yes
grn.MP4 | 00:31:30.538=yes
grn.MP4 | 00:21:22.812=yes
dt.MP4 | 00:01:07.013=yes
cnb2.MP4 | 00:00:45.985=yes
tar.MP4 | 00:13:53.548=yes
grn.MP4 | 00:07:58.853=perfect
cnb2.MP4 | 00:00:38.460=yes
cnb2.MP4 | 00:00:25.873=yes
cnb2.MP4 | 00:00:30.069=yes
cnb2.MP4 | 00:00:23.675=yes
dt.MP4 | 00:01:16.317=yes
cnb3.MP4 | 00:01:12.965=yes
tar.MP4 | 00:05:10.933=no
bmsn3.MP4 | 00:00:02.392=yes
blr.MP4 | 00:01:10.799=yes
brw2.MP4 | 00:02:36.026=yes
grn.MP4 | 00:10:04.062=yes
cnb3.MP4 | 00:01:32.511=yes
grn.MP4 | 00:26:24.939=perfect
dt.MP4 | 00:00:20.904=perfect
lb2.MP4 | 00:00:54.001=yes
bmsn3.MP4 | 00:00:30.872=yes
dt.MP4 | 00:01:14.947=yes
cnb2.MP4 | 00:00:36.795=yes
grn.MP4 | 00:08:10.840=yes
brw2.MP4 | 00:02:41.122=yes
brw2.MP4 | 00:02:42.744=yes
grn.MP4 | 00:07:33.304=no
grn.MP4 | 00:07:30.797=no
tt.MP4 | 00:21:08.774=yes
cnb3.MP4 | 00:01:29.279=yes
cnb3.MP4 | 00:00:33.033=yes
grn.MP4 | 00:27:49.012=yes
bm.MP4 | 00:20:47.997=yes
brw2.MP4 | 00:03:51.408=yes
grn.MP4 | 00:08:19.871=yes
grn.MP4 | 00:26:54.120=yes
dt.MP4 | 00:00:14.817=yes
grn.MP4 | 00:06:53.774=no
pin.MP4 | 00:20:28.642=perfect
tt.MP4 | 00:19:10.781=perfect
fort3.MP4 | 00:01:42.149=no
grn.MP4 | 00:24:36.956=perfect
grn.MP4 | 00:12:57.445=yes
grn.MP4 | 00:17:23.578=yes
tt.MP4 | 00:21:10.353=yes
cnb3.MP4 | 00:01:19.086=yes
